"","tax_sp_level","phylum","order","species","family","genus","specificEpithet","a_habit","nbe_records"
"219","Acalypha fruticosa","Magnoliophyta","Malpighiales","Acalypha fruticosa var. fruticosa","Euphorbiaceae","Acalypha","fruticosa","shrub","99"
"220","Acalypha gillmanii","Magnoliophyta","Malpighiales","Acalypha gillmanii","Euphorbiaceae","Acalypha","gillmanii","shrub","6"
"221","Acalypha glabrata","Magnoliophyta","Malpighiales","Acalypha glabrata","Euphorbiaceae","Acalypha","glabrata","shrub","9"
"222","Acalypha glabrata","Magnoliophyta","Malpighiales","Acalypha glabrata var. pilosa","Euphorbiaceae","Acalypha","glabrata","shrub","9"
"223","Acalypha glabrata","Magnoliophyta","Malpighiales","Acalypha glabrata var. glabrata","Euphorbiaceae","Acalypha","glabrata","shrub","9"
"224","Acalypha glandulifolia","Magnoliophyta","Malpighiales","Acalypha glandulifolia","Euphorbiaceae","Acalypha","glandulifolia","herb","2"
"225","Acalypha guineensis","Magnoliophyta","Malpighiales","Acalypha guineensis","Euphorbiaceae","Acalypha","guineensis","herb","11"
"226","Acalypha hochstetteriana","Magnoliophyta","Malpighiales","Acalypha hochstetteriana","Euphorbiaceae","Acalypha","hochstetteriana","herb","1"
"227","Acalypha indica","Magnoliophyta","Malpighiales","Acalypha indica","Euphorbiaceae","Acalypha","indica","herb","28"
"228","Acalypha koraensis","Magnoliophyta","Malpighiales","Acalypha koraensis","Euphorbiaceae","Acalypha","koraensis","herb","1"
"229","Acalypha lanceolata","Magnoliophyta","Malpighiales","Acalypha lanceolata","Euphorbiaceae","Acalypha","lanceolata","herb","38"
"230","Acalypha lanceolata","Magnoliophyta","Malpighiales","Acalypha lanceolata var. glandulosa","Euphorbiaceae","Acalypha","lanceolata","herb","38"
"231","Acalypha manniana","Magnoliophyta","Malpighiales","Acalypha manniana","Euphorbiaceae","Acalypha","manniana","shrub","27"
"232","Acalypha marissima","Magnoliophyta","Malpighiales","Acalypha marissima","Euphorbiaceae","Acalypha","marissima","shrub","2"
"233","Acalypha multifida","Magnoliophyta","Malpighiales","Acalypha multifida","Euphorbiaceae","Acalypha","multifida","","1"
"234","Acalypha neptunica","Magnoliophyta","Malpighiales","Acalypha neptunica","Euphorbiaceae","Acalypha","neptunica","shrub","104"
"235","Acalypha neptunica","Magnoliophyta","Malpighiales","Acalypha neptunica var. genuina","Euphorbiaceae","Acalypha","neptunica","shrub","104"
"236","Acalypha neptunica","Magnoliophyta","Malpighiales","Acalypha neptunica var. neptunica","Euphorbiaceae","Acalypha","neptunica","shrub","104"
"237","Acalypha neptunica","Magnoliophyta","Malpighiales","Acalypha neptunica var. pubescens","Euphorbiaceae","Acalypha","neptunica","shrub","104"
"238","Acalypha nyasica","Magnoliophyta","Malpighiales","Acalypha nyasica","Euphorbiaceae","Acalypha","nyasica","herb","2"
"239","Acalypha ornata","Magnoliophyta","Malpighiales","Acalypha ornata","Euphorbiaceae","Acalypha","ornata","shrub","224"
"240","Acalypha ornata","Magnoliophyta","Malpighiales","Acalypha ornata var. genuina","Euphorbiaceae","Acalypha","ornata","shrub","224"
"241","Acalypha paniculata","Magnoliophyta","Malpighiales","Acalypha paniculata","Euphorbiaceae","Acalypha","paniculata","herb","87"
"242","Acalypha paucifolia","Magnoliophyta","Malpighiales","Acalypha paucifolia","Euphorbiaceae","Acalypha","paucifolia","shrub","2"
"243","Acalypha peduncularis","Magnoliophyta","Malpighiales","Acalypha peduncularis","Euphorbiaceae","Acalypha","peduncularis","shrub","4"
"244","Acalypha petiolaris","Magnoliophyta","Malpighiales","Acalypha petiolaris","Euphorbiaceae","Acalypha","petiolaris","herb","17"
"245","Acalypha polymorpha","Magnoliophyta","Malpighiales","Acalypha polymorpha","Euphorbiaceae","Acalypha","polymorpha","herb","62"
"246","Acalypha psilostachya","Magnoliophyta","Malpighiales","Acalypha psilostachya","Euphorbiaceae","Acalypha","psilostachya","herb","106"
"247","Acalypha psilostachya","Magnoliophyta","Malpighiales","Acalypha psilostachya var. psilostachya","Euphorbiaceae","Acalypha","psilostachya","herb","106"
"248","Acalypha psilostachya","Magnoliophyta","Malpighiales","Acalypha psilostachya var. glandulosa","Euphorbiaceae","Acalypha","psilostachya","herb","106"
"249","Acalypha pubiflora","Magnoliophyta","Malpighiales","Acalypha pubiflora","Euphorbiaceae","Acalypha","pubiflora","shrub","3"
"250","Acalypha segetalis","Magnoliophyta","Malpighiales","Acalypha segetalis","Euphorbiaceae","Acalypha","segetalis","herb","32"
"251","Acalypha sonderiana","Magnoliophyta","Malpighiales","Acalypha sonderiana","Euphorbiaceae","Acalypha","sonderiana","tree","1"
"252","Acalypha supera","Magnoliophyta","Malpighiales","Acalypha supera","Euphorbiaceae","Acalypha","supera","herb","39"
"253","Acalypha volkensii","Magnoliophyta","Malpighiales","Acalypha volkensii","Euphorbiaceae","Acalypha","volkensii","shrub","64"
"254","Acalypha welwitschiana","Magnoliophyta","Malpighiales","Acalypha welwitschiana","Euphorbiaceae","Acalypha","welwitschiana","shrub","10"
"255","Acampe pachyglossa","Magnoliophyta","Asparagales","Acampe pachyglossa","Orchidaceae","Acampe","pachyglossa","epiphyte","37"
"256","Acampe rigida","Magnoliophyta","Asparagales","Acampe rigida","Orchidaceae","Acampe","rigida","epiphyte","1"
"257","Acanthonema diandrum","Magnoliophyta","Lamiales","Acanthonema diandrum","Gesneriaceae","Acanthonema","diandrum","herb","2"
"258","Acanthonema strigosum","Magnoliophyta","Lamiales","Acanthonema strigosum","Gesneriaceae","Acanthonema","strigosum","herb","45"
"259","Acanthopale confertiflora","Magnoliophyta","Lamiales","Acanthopale confertiflora","Acanthaceae","Acanthopale","confertiflora","shrub","8"
"260","Acanthopale decempedalis","Magnoliophyta","Lamiales","Acanthopale decempedalis","Acanthaceae","Acanthopale","decempedalis","herb","20"
"261","Acanthopale laxiflora","Magnoliophyta","Lamiales","Acanthopale laxiflora","Acanthaceae","Acanthopale","laxiflora","herb","6"
"262","Acanthopale pubescens","Magnoliophyta","Lamiales","Acanthopale pubescens","Acanthaceae","Acanthopale","pubescens","shrub","28"
"263","Acanthopsis disperma","Magnoliophyta","Lamiales","Acanthopsis disperma","Acanthaceae","Acanthopsis","disperma","herb","1"
"264","Acanthosicyos horrida","Magnoliophyta","Cucurbitales","Acanthosicyos horrida","Cucurbitaceae","Acanthosicyos","horrida","","1"
"265","Acanthosicyos horridus","Magnoliophyta","Cucurbitales","Acanthosicyos horridus","Cucurbitaceae","Acanthosicyos","horridus","shrub","15"
"266","Acanthosicyos naudinianus","Magnoliophyta","Cucurbitales","Acanthosicyos naudinianus","Cucurbitaceae","Acanthosicyos","naudinianus","vine","8"
"267","Acanthospermum glabratum","Magnoliophyta","Asterales","Acanthospermum glabratum","Asteraceae","Acanthospermum","glabratum","herb","4"
"268","Acanthospermum hispidum","Magnoliophyta","Asterales","Acanthospermum hispidum","Asteraceae","Acanthospermum","hispidum","herb","88"
"269","Acanthus eminens","Magnoliophyta","Lamiales","Acanthus eminens","Acanthaceae","Acanthus","eminens","shrub","12"
"270","Acanthus guineensis","Magnoliophyta","Lamiales","Acanthus guineensis","Acanthaceae","Acanthus","guineensis","herb","30"
"271","Acanthus kulalensis","Magnoliophyta","Lamiales","Acanthus kulalensis","Acanthaceae","Acanthus","kulalensis","shrub","2"
"272","Acanthus latisepalus","Magnoliophyta","Lamiales","Acanthus latisepalus","Acanthaceae","Acanthus","latisepalus","herb","19"
"273","Acanthus mayaccanus","Magnoliophyta","Lamiales","Acanthus mayaccanus","Acanthaceae","Acanthus","mayaccanus","shrub","37"
"274","Acanthus montanus","Magnoliophyta","Lamiales","Acanthus montanus","Acanthaceae","Acanthus","montanus","herb","212"
"275","Acanthus polystachyus","Magnoliophyta","Lamiales","Acanthus polystachyus var. polystachyus","Acanthaceae","Acanthus","polystachyus","herb","66"
"276","Acanthus polystachyus","Magnoliophyta","Lamiales","Acanthus polystachyus","Acanthaceae","Acanthus","polystachyus","herb","66"
"277","Acanthus polystachyus","Magnoliophyta","Lamiales","Acanthus polystachyus var. tomentosus","Acanthaceae","Acanthus","polystachyus","herb","66"
"278","Acanthus sennii","Magnoliophyta","Lamiales","Acanthus sennii","Acanthaceae","Acanthus","sennii","shrub","13"
"279","Acanthus seretii","Magnoliophyta","Lamiales","Acanthus seretii","Acanthaceae","Acanthus","seretii","","1"
"280","Acanthus ueleensis","Magnoliophyta","Lamiales","Acanthus ueleensis subsp. ueleensis","Acanthaceae","Acanthus","ueleensis","herb","44"
"281","Acanthus ueleensis","Magnoliophyta","Lamiales","Acanthus ueleensis","Acanthaceae","Acanthus","ueleensis","herb","44"
"282","Achillea millefolium","Magnoliophyta","Asterales","Achillea millefolium","Asteraceae","Achillea","millefolium","herb","1"
"283","Achyranthes aspera","Magnoliophyta","Caryophyllales","Achyranthes aspera var. sicula","Amaranthaceae","Achyranthes","aspera","herb","244"
"284","Achyranthes aspera","Magnoliophyta","Caryophyllales","Achyranthes aspera var. aspera","Amaranthaceae","Achyranthes","aspera","herb","244"
"285","Achyranthes aspera","Magnoliophyta","Caryophyllales","Achyranthes aspera var. virgata","Amaranthaceae","Achyranthes","aspera","herb","244"
"286","Achyranthes aspera","Magnoliophyta","Caryophyllales","Achyranthes aspera","Amaranthaceae","Achyranthes","aspera","herb","244"
"287","Achyranthes aspera","Magnoliophyta","Caryophyllales","Achyranthes aspera var. pubescens","Amaranthaceae","Achyranthes","aspera","herb","244"
"288","Achyranthes bidentata","Magnoliophyta","Caryophyllales","Achyranthes bidentata","Amaranthaceae","Achyranthes","bidentata","herb","13"
"289","Achyranthes fasciculata","Magnoliophyta","Caryophyllales","Achyranthes fasciculata","Amaranthaceae","Achyranthes","fasciculata","herb","5"
"290","Achyranthes talbotii","Magnoliophyta","Caryophyllales","Achyranthes talbotii","Amaranthaceae","Achyranthes","talbotii","herb","7"
"291","Achyrocline schimperi","Magnoliophyta","Asterales","Achyrocline schimperi","Asteraceae","Achyrocline","schimperi","herb","75"
"292","Achyropsis filifolia","Magnoliophyta","Caryophyllales","Achyropsis filifolia","Amaranthaceae","Achyropsis","filifolia","herb","4"
"293","Achyropsis fruticulosa","Magnoliophyta","Caryophyllales","Achyropsis fruticulosa","Amaranthaceae","Achyropsis","fruticulosa","shrub","24"
"294","Achyropsis laniceps","Magnoliophyta","Caryophyllales","Achyropsis laniceps","Amaranthaceae","Achyropsis","laniceps","herb","12"
"295","Achyropsis leptostachya","Magnoliophyta","Caryophyllales","Achyropsis leptostachya","Amaranthaceae","Achyropsis","leptostachya","shrub","2"
"296","Achyrospermum aethiopicum","Magnoliophyta","Lamiales","Achyrospermum aethiopicum","Lamiaceae","Achyrospermum","aethiopicum","herb","4"
"297","Achyrospermum africanum","Magnoliophyta","Lamiales","Achyrospermum africanum","Lamiaceae","Achyrospermum","africanum","herb","33"
"298","Achyrospermum axillare","Magnoliophyta","Lamiales","Achyrospermum axillare","Lamiaceae","Achyrospermum","axillare","shrub","8"
"299","Achyrospermum carvalhoi","Magnoliophyta","Lamiales","Achyrospermum carvalhoi","Lamiaceae","Achyrospermum","carvalhoi","shrub","41"
"300","Achyrospermum carvalhoi","Magnoliophyta","Lamiales","Achyrospermum carvalhoi var. grandibracteatum","Lamiaceae","Achyrospermum","carvalhoi","shrub","41"
"301","Achyrospermum ciliatum","Magnoliophyta","Lamiales","Achyrospermum ciliatum","Lamiaceae","Achyrospermum","ciliatum","herb","19"
"302","Achyrospermum cryptanthum","Magnoliophyta","Lamiales","Achyrospermum cryptanthum","Lamiaceae","Achyrospermum","cryptanthum","shrub","16"
"303","Achyrospermum dasytrichum","Magnoliophyta","Lamiales","Achyrospermum dasytrichum","Lamiaceae","Achyrospermum","dasytrichum","shrub","3"
"304","Achyrospermum erythrobotrys","Magnoliophyta","Lamiales","Achyrospermum erythrobotrys","Lamiaceae","Achyrospermum","erythrobotrys","shrub","1"
"305","Achyrospermum laterale","Magnoliophyta","Lamiales","Achyrospermum laterale","Lamiaceae","Achyrospermum","laterale","shrub","1"
"306","Achyrospermum micranthum","Magnoliophyta","Lamiales","Achyrospermum micranthum","Lamiaceae","Achyrospermum","micranthum","herb","10"
"307","Achyrospermum oblongifolium","Magnoliophyta","Lamiales","Achyrospermum oblongifolium","Lamiaceae","Achyrospermum","oblongifolium","herb","48"
"308","Achyrospermum parviflorum","Magnoliophyta","Lamiales","Achyrospermum parviflorum","Lamiaceae","Achyrospermum","parviflorum","herb","2"
"309","Achyrospermum radicans","Magnoliophyta","Lamiales","Achyrospermum radicans","Lamiaceae","Achyrospermum","radicans","shrub","7"
"310","Achyrospermum scandens","Magnoliophyta","Lamiales","Achyrospermum scandens","Lamiaceae","Achyrospermum","scandens","liana","10"
"311","Achyrospermum schimperi","Magnoliophyta","Lamiales","Achyrospermum schimperi","Lamiaceae","Achyrospermum","schimperi","herb","26"
"312","Achyrospermum schlechteri","Magnoliophyta","Lamiales","Achyrospermum schlechteri","Lamiaceae","Achyrospermum","schlechteri","","1"
"313","Achyrospermum serratum","Magnoliophyta","Lamiales","Achyrospermum serratum","Lamiaceae","Achyrospermum","serratum","shrub","3"
"314","Achyrospermum tisserantii","Magnoliophyta","Lamiales","Achyrospermum tisserantii","Lamiaceae","Achyrospermum","tisserantii","herb","5"
"315","Achyrothalamus marginatus","Magnoliophyta","Asterales","Achyrothalamus marginatus","Asteraceae","Achyrothalamus","marginatus","shrub","11"
"316","Acmadenia mundiana","Magnoliophyta","Sapindales","Acmadenia mundiana","Rutaceae","Acmadenia","mundiana","shrub","1"
"317","Acmadenia tetragona","Magnoliophyta","Sapindales","Acmadenia tetragona","Rutaceae","Acmadenia","tetragona","","1"
"318","Acmella caulirhiza","Magnoliophyta","Asterales","Acmella caulirhiza","Asteraceae","Acmella","caulirhiza","herb","173"
"319","Acmella uliginosa","Magnoliophyta","Asterales","Acmella uliginosa","Asteraceae","Acmella","uliginosa","herb","62"
"320","Acokanthera laevigata","Magnoliophyta","Gentianales","Acokanthera laevigata","Apocynaceae","Acokanthera","laevigata","tree","3"
"321","Acokanthera oblongifolia","Magnoliophyta","Gentianales","Acokanthera oblongifolia","Apocynaceae","Acokanthera","oblongifolia","shrub","2"
"322","Acokanthera oppositifolia","Magnoliophyta","Gentianales","Acokanthera oppositifolia","Apocynaceae","Acokanthera","oppositifolia","shrub","14"
"323","Acokanthera rotundata","Magnoliophyta","Gentianales","Acokanthera rotundata","Apocynaceae","Acokanthera","rotundata","shrub","2"
"324","Acokanthera schimperi","Magnoliophyta","Gentianales","Acokanthera schimperi","Apocynaceae","Acokanthera","schimperi","shrub","35"
"325","Acrachne racemosa","Magnoliophyta","Poales","Acrachne racemosa","Poaceae","Acrachne","racemosa","herb","8"
"326","Acridocarpus alopecurus","Magnoliophyta","Malpighiales","Acridocarpus alopecurus","Malpighiaceae","Acridocarpus","alopecurus","liana","35"
"327","Acridocarpus alopecurus","Magnoliophyta","Malpighiales","Acridocarpus alopecurus var. alopecurus","Malpighiaceae","Acridocarpus","alopecurus","liana","35"
"328","Acridocarpus alopecurus","Magnoliophyta","Malpighiales","Acridocarpus alopecurus var. machaeropterus","Malpighiaceae","Acridocarpus","alopecurus","liana","35"
"329","Acridocarpus alternifolius","Magnoliophyta","Malpighiales","Acridocarpus alternifolius","Malpighiaceae","Acridocarpus","alternifolius","shrub","50"
"330","Acridocarpus ballyi","Magnoliophyta","Malpighiales","Acridocarpus ballyi","Malpighiaceae","Acridocarpus","ballyi","","1"
"331","Acridocarpus camerunensis","Magnoliophyta","Malpighiales","Acridocarpus camerunensis","Malpighiaceae","Acridocarpus","camerunensis","liana","11"
"332","Acridocarpus caparados","Magnoliophyta","Malpighiales","Acridocarpus caparados","Malpighiaceae","Acridocarpus","caparados","liana","4"
"333","Acridocarpus chevalieri","Magnoliophyta","Malpighiales","Acridocarpus chevalieri","Malpighiaceae","Acridocarpus","chevalieri","shrub","16"
"334","Acridocarpus chloropterus","Magnoliophyta","Malpighiales","Acridocarpus chloropterus","Malpighiaceae","Acridocarpus","chloropterus","liana","3"
"335","Acridocarpus congestus","Magnoliophyta","Malpighiales","Acridocarpus congestus","Malpighiaceae","Acridocarpus","congestus","liana","3"
"336","Acridocarpus congolensis","Magnoliophyta","Malpighiales","Acridocarpus congolensis","Malpighiaceae","Acridocarpus","congolensis","shrub","3"
"337","Acridocarpus glaucescens","Magnoliophyta","Malpighiales","Acridocarpus glaucescens","Malpighiaceae","Acridocarpus","glaucescens","shrub","2"
"338","Acridocarpus glaucescens","Magnoliophyta","Malpighiales","Acridocarpus glaucescens var. graniticus","Malpighiaceae","Acridocarpus","glaucescens","shrub","2"
"339","Acridocarpus katangensis","Magnoliophyta","Malpighiales","Acridocarpus katangensis","Malpighiaceae","Acridocarpus","katangensis","shrub","22"
"340","Acridocarpus longifolius","Magnoliophyta","Malpighiales","Acridocarpus longifolius","Malpighiaceae","Acridocarpus","longifolius","liana","138"
"341","Acridocarpus longifolius wa","Magnoliophyta","Malpighiales","Acridocarpus longifolius wa","Malpighiaceae","Acridocarpus","longifolius wa","shrub","9"
"342","Acridocarpus macrocalyx","Magnoliophyta","Malpighiales","Acridocarpus macrocalyx","Malpighiaceae","Acridocarpus","macrocalyx","liana","46"
"343","Acridocarpus mayumbensis","Magnoliophyta","Malpighiales","Acridocarpus mayumbensis","Malpighiaceae","Acridocarpus","mayumbensis","liana","1"
"344","Acridocarpus monodii","Magnoliophyta","Malpighiales","Acridocarpus monodii","Malpighiaceae","Acridocarpus","monodii","shrub","2"
"345","Acridocarpus natalitius","Magnoliophyta","Malpighiales","Acridocarpus natalitius","Malpighiaceae","Acridocarpus","natalitius","shrub","8"
"346","Acridocarpus natalitius","Magnoliophyta","Malpighiales","Acridocarpus natalitius var. linearifolius","Malpighiaceae","Acridocarpus","natalitius","shrub","8"
"347","Acridocarpus pauciglandulosus","Magnoliophyta","Malpighiales","Acridocarpus pauciglandulosus","Malpighiaceae","Acridocarpus","pauciglandulosus","shrub","2"
"348","Acridocarpus plagiopterus","Magnoliophyta","Malpighiales","Acridocarpus plagiopterus","Malpighiaceae","Acridocarpus","plagiopterus","liana","82"
"349","Acridocarpus smeathmannii","Magnoliophyta","Malpighiales","Acridocarpus smeathmannii","Malpighiaceae","Acridocarpus","smeathmannii","shrub","103"
